Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,sub_species,BioSampleModel,BREED,sex,tissue,AGE,Collection_Date,darwinsark_id,Label,geo_loc_name_country,geo_loc_name_country_continent,BioProject (run),geo_loc_name,HOST,isolate,Sequencing_batch,Sequencing_date,sequencing_platform,analysis_name,BIOMATERIAL_PROVIDER,broad-scale_environmental_context,chimera_check_software,common_name,dev_stage,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),environmental_medium,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),Host_age,host_common_name,host_scientific_name,host_sex,host_subject_id,host_taxid,INSDC_center_name,INSDC_status,library_construction_method,library_reads_sequenced,local_environmental_context,negative_control_type,positive_control_type,project_name,Relevant_electronic_resources,sample_collection_method,sample_material_processing,Sample_name,Scientific_Name,Submitter_Id
SRR30817359,WGS,302,73239219242,PRJNA726547,SAMN43958102,26133159692,NATIONAL INSTITUTES OF HEALTH,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26217857,Illumina NovaSeq 6000,WGSL19391130,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-10-02T00:00:00Z,2024-09-27T11:14:00Z,1,19391130,SRP318295,familiaris,Model organism or animal,Saluki,male,Saliva,,not applicable,,,,,,,,,,,,Saluki04,"The Dog Genome Project\, National Human Genome Research Institute\, National Institutes of Health\, Bethesda\, MD",,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30817360,WGS,302,66645751090,PRJNA726547,SAMN43958101,23825680704,NATIONAL INSTITUTES OF HEALTH,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX26217856,Illumina NovaSeq 6000,WGSL19376988,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-10-02T00:00:00Z,2024-09-27T11:15:00Z,1,19376988,SRP318295,familiaris,Model organism or animal,Presa Canario,not collected,Saliva,,not applicable,,,,,,,,,,,,PresaCanario03,"The Dog Genome Project\, National Human Genome Research Institute\, National Institutes of Health\, Bethesda\, MD",,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30817361,WGS,302,73657719970,PRJNA726547,SAMN43958100,26638469907,NATIONAL INSTITUTES OF HEALTH,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX26217855,Illumina NovaSeq 6000,WGSL19376934,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-10-02T00:00:00Z,2024-09-27T11:08:00Z,1,19376934,SRP318295,familiaris,Model organism or animal,Presa Canario,not collected,Saliva,,not applicable,,,,,,,,,,,,PresaCanario02,"The Dog Genome Project\, National Human Genome Research Institute\, National Institutes of Health\, Bethesda\, MD",,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30817362,WGS,302,77953727954,PRJNA726547,SAMN43958099,27823201292,NATIONAL INSTITUTES OF HEALTH,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX26217854,Illumina NovaSeq 6000,WGSL19376986,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-10-02T00:00:00Z,2024-09-27T10:47:00Z,1,19376986,SRP318295,familiaris,Model organism or animal,Presa Canario,not collected,Saliva,,not applicable,,,,,,,,,,,,PresaCanario01,"The Dog Genome Project\, National Human Genome Research Institute\, National Institutes of Health\, Bethesda\, MD",,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30817363,WGS,302,78865409782,PRJNA726547,SAMN43958098,28310282900,NATIONAL INSTITUTES OF HEALTH,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX26217853,Illumina NovaSeq 6000,WGSL19376942,PAIRED,RANDOM,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-10-02T00:00:00Z,2024-09-27T11:20:00Z,1,19376942,SRP318295,familiaris,Model organism or animal,Podenco Canario,not collected,Saliva,,not applicable,,,,,,,,,,,,PodencoCanario03,"The Dog Genome Project\, National Human Genome Research Institute\, National Institutes of Health\, Bethesda\, MD",,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355051,WGS,294,3870953736,PRJNA675863,SAMN43321278,1350248349,BROAD INSTITUTE,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX25812994,Illumina NovaSeq 6000,DarwinsArk_031757_31211111004635,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:47:00Z,1,DarwinsArk_031757_31211111004635,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,not collected,31757,31211111004635,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355052,WGS,302,4206137314,PRJNA675863,SAMN43321053,1790820691,BROAD INSTITUTE,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX25812993,Illumina NovaSeq 6000,DarwinsArk_013729_31001806034826,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:50:00Z,1,DarwinsArk_013729_31001806034826,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,not collected,13729,31001806034826,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355053,WGS,295,1882809074,PRJNA675863,SAMN43321277,647612459,BROAD INSTITUTE,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX25812992,Illumina NovaSeq 6000,DarwinsArk_001676_31211112302361-40270566,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:47:00Z,1,DarwinsArk_001676_31211112302361-40270566,SRP297431,familiaris,Model organism or animal,not applicable,male,saliva,not applicable,not collected,1676,31211112302361-40270566,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2024-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355054,WGS,302,2544428520,PRJNA675863,SAMN43321276,1064239303,BROAD INSTITUTE,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX25812991,Illumina NovaSeq 6000,DarwinsArk_028078_31001806032622,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:46:00Z,1,DarwinsArk_028078_31001806032622,SRP297431,familiaris,Model organism or animal,not applicable,male,saliva,not applicable,not collected,28078,31001806032622,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355055,WGS,294,2747804157,PRJNA675863,SAMN43321275,963075005,BROAD INSTITUTE,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX25812990,Illumina NovaSeq 6000,DarwinsArk_031260_31211111000010,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:46:00Z,1,DarwinsArk_031260_31211111000010,SRP297431,familiaris,Model organism or animal,not applicable,male,saliva,not applicable,not collected,31260,31211111000010,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355056,WGS,286,1180050930,PRJNA675863,SAMN43321274,419903308,BROAD INSTITUTE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX25812989,Illumina NovaSeq 6000,DarwinsArk_030407_31001806032083,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:45:00Z,1,DarwinsArk_030407_31001806032083,SRP297431,familiaris,Model organism or animal,not applicable,male,saliva,not applicable,not collected,30407,31001806032083,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355057,WGS,286,1724522348,PRJNA675863,SAMN43321273,614401604,BROAD INSTITUTE,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX25812988,Illumina NovaSeq 6000,DarwinsArk_030271_31001806034525,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:46:00Z,1,DarwinsArk_030271_31001806034525,SRP297431,familiaris,Model organism or animal,not applicable,male,saliva,not applicable,not collected,30271,31001806034525,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355058,WGS,294,2694121576,PRJNA675863,SAMN43321272,1004138963,BROAD INSTITUTE,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX25812987,Illumina NovaSeq 6000,DarwinsArk_029389_31211112308217,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:47:00Z,1,DarwinsArk_029389_31211112308217,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,not collected,29389,31211112308217,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355059,WGS,294,1678573432,PRJNA675863,SAMN43321271,574050031,BROAD INSTITUTE,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX25812986,Illumina NovaSeq 6000,DarwinsArk_038671_31019073905353,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:46:00Z,1,DarwinsArk_038671_31019073905353,SRP297431,familiaris,Model organism or animal,not applicable,male,saliva,not applicable,not collected,38671,31019073905353,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR30355060,WGS,293,1612147264,PRJNA675863,SAMN43321270,562892573,BROAD INSTITUTE,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX25812985,Illumina NovaSeq 6000,DarwinsArk_036178_31019073908470,PAIRED,other,GENOMIC,Canis lupus familiaris,ILLUMINA,2024-08-23T00:00:00Z,2024-08-23T12:46:00Z,1,DarwinsArk_036178_31019073908470,SRP297431,familiaris,Model organism or animal,not applicable,female,saliva,not applicable,not collected,36178,31019073908470,uncalculated,uncalculated,PRJNA675863,not collected,not applicable,not applicable,,2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR13925473,WGS,300,7079482500,PRJEB80559,SAMEA116144758,2263049596,NORWEGIAN VETERINARY INSTITUTE,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX13327348,Illumina NovaSeq 6000,DNA_H1H_10_B2,PAIRED,RANDOM,METAGENOMIC,Canis lupus familiaris,ILLUMINA,2024-11-04T00:00:00Z,2024-11-08T00:49:00Z,1,SAMEA116144758,ERP164536,familiaris,,,,,,2018,,,Norway,Europe,,,,,,,,,,Agriculture ecosystem,software,dog,,2024-11-04,2024-11-04,2024-11-04,fecal material,Norway,63.74,11.30,1,Dog,Canis lupus familiaris,male,4310000028758,9615,NORWEGIAN VETERINARY INSTITUTE,public,shotgun sequencing,23598275,farm,blank DBS paper,Mock community,Hunt One Health Pilot study,https://www.nmbu.no/en/research/projects/hunt-one-health,Fecal material on Dried Blood Spot Card,Fecal material was air dried on DBS paper,DNA_H1H_10_B2,Canis lupus familiaris,DNA_H1H_10_B2
ERR13925474,WGS,300,5637546000,PRJEB80559,SAMEA116144759,1892740204,NORWEGIAN VETERINARY INSTITUTE,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",ERX13327349,Illumina NovaSeq 6000,DNA_H1H_1_A6,PAIRED,RANDOM,METAGENOMIC,Canis lupus familiaris,ILLUMINA,2024-11-04T00:00:00Z,2024-11-08T00:43:00Z,1,SAMEA116144759,ERP164536,familiaris,,,,,,2018,,,Norway,Europe,,,,,,,,,,Agriculture ecosystem,software,dog,,2024-11-04,2024-11-04,2024-11-04,fecal material,Norway,63.74,11.30,1,Dog,Canis lupus familiaris,female,4310000056270,9615,NORWEGIAN VETERINARY INSTITUTE,public,shotgun sequencing,18791820,farm,blank DBS paper,Mock community,Hunt One Health Pilot study,https://www.nmbu.no/en/research/projects/hunt-one-health,Fecal material on Dried Blood Spot Card,Fecal material was air dried on DBS paper,DNA_H1H_1_A6,Canis lupus familiaris,DNA_H1H_1_A6
ERR13925475,WGS,300,1853797800,PRJEB80559,SAMEA116144760,628268429,NORWEGIAN VETERINARY INSTITUTE,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",ERX13327350,Illumina NovaSeq 6000,DNA_H1H_27_E3,PAIRED,RANDOM,METAGENOMIC,Canis lupus familiaris,ILLUMINA,2024-11-04T00:00:00Z,2024-11-08T08:35:00Z,1,SAMEA116144760,ERP164536,familiaris,,,,,,2018,,,Norway,Europe,,,,,,,,,,Agriculture ecosystem,software,dog,,2024-11-04,2024-11-04,2024-11-04,fecal material,Norway,63.74,11.30,10,Dog,Canis lupus familiaris,neuter,4310000011217,9615,NORWEGIAN VETERINARY INSTITUTE,public,shotgun sequencing,6179326,farm,blank DBS paper,Mock community,Hunt One Health Pilot study,https://www.nmbu.no/en/research/projects/hunt-one-health,Fecal material on Dried Blood Spot Card,Fecal material was air dried on DBS paper,DNA_H1H_27_E3,Canis lupus familiaris,DNA_H1H_27_E3
ERR13925476,WGS,300,5122487400,PRJEB80559,SAMEA116144761,1671588494,NORWEGIAN VETERINARY INSTITUTE,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",ERX13327351,Illumina NovaSeq 6000,DNA_H1H_28_G5,PAIRED,RANDOM,METAGENOMIC,Canis lupus familiaris,ILLUMINA,2024-11-04T00:00:00Z,2024-11-06T11:43:00Z,1,SAMEA116144761,ERP164536,familiaris,,,,,,2018,,,Norway,Europe,,,,,,,,,,Agriculture ecosystem,software,dog,,2024-11-04,2024-11-04,2024-11-04,fecal material,Norway,63.74,11.30,10,Dog,Canis lupus familiaris,male,4310000055372,9615,NORWEGIAN VETERINARY INSTITUTE,public,shotgun sequencing,17074958,farm,blank DBS paper,Mock community,Hunt One Health Pilot study,https://www.nmbu.no/en/research/projects/hunt-one-health,Fecal material on Dried Blood Spot Card,Fecal material was air dried on DBS paper,DNA_H1H_28_G5,Canis lupus familiaris,DNA_H1H_28_G5
ERR13925477,WGS,300,5912044800,PRJEB80559,SAMEA116144762,1844815611,NORWEGIAN VETERINARY INSTITUTE,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",ERX13327352,Illumina NovaSeq 6000,DNA_H1H_40_G10,PAIRED,RANDOM,METAGENOMIC,Canis lupus familiaris,ILLUMINA,2024-11-04T00:00:00Z,2024-11-06T11:35:00Z,1,SAMEA116144762,ERP164536,familiaris,,,,,,2019,,,Norway,Europe,,,,,,,,,,Agriculture ecosystem,software,dog,,2024-11-04,2024-11-04,2024-11-04,fecal material,Norway,63.74,11.30,1,Dog,Canis lupus familiaris,female,4310000014751,9615,NORWEGIAN VETERINARY INSTITUTE,public,shotgun sequencing,19706816,farm,blank DBS paper,Mock community,Hunt One Health Pilot study,https://www.nmbu.no/en/research/projects/hunt-one-health,Fecal material on Dried Blood Spot Card,Fecal material was air dried on DBS paper,DNA_H1H_40_G10,Canis lupus familiaris,DNA_H1H_40_G10
